h3_9,rec_win_start,rec_peak_hour,window_capture,rec_window,dom_location
896014512a7ffff,9,10,1.0,09:00–11:00,"24th Main Road, Kanakadas Circle, Gaanakallu, Bengaluru, Karnataka. Pin-560060 (India)"
8960145140bffff,13,14,0.857,13:00–15:00,"Vajarahalli Road, Prasad Layout, Ganigara Palya, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)"
8960145141bffff,3,4,1.0,03:00–05:00,"1st Cross Road, Sobha Forest View, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560061 (India)"
89601451483ffff,11,11,0.454,11:00–13:00,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
89601451497ffff,2,3,1.0,02:00–04:00,"Konanakunte Main Road, Spring Woods Apartment, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
8960145149bffff,11,11,0.937,11:00–13:00,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
896014514c3ffff,10,10,0.75,10:00–12:00,"6th Cross Road, Sri Balaji HBCS Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560109 (India)"
896014514d3ffff,10,11,0.703,10:00–12:00,"Konanakunte Main Road, Paramount Gardens, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
896014514d7ffff,10,10,0.761,10:00–12:00,"Konanakunte Main Road, Paramount Gardens, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
896014514dbffff,7,12,0.362,07:00–09:00,"Konanakunte Main Road, Hosahalli South Taluka, Bengaluru, Karnataka. Pin-560109 (India)"
89601451613ffff,14,15,1.0,14:00–16:00,"3rd Main Road, Pride Spring Field Apartment, Subramanyapura, Bengaluru, Karnataka. Pin-560061 (India)"
8960145164bffff,11,12,0.591,11:00–13:00,"48th Cross Road, DS Max Savera, Poornapragna Housing Society Layout, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)"
8960145164fffff,10,11,0.533,10:00–12:00,"30th Cross Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India"
8960145165bffff,12,13,0.634,12:00–14:00,"Dr Vishnuvardhan Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)"
89601451663ffff,2,3,1.0,02:00–04:00,"Dr Vishnuvardhan Main Road, Banashankari Stage 5, Bengaluru, Karnataka. Pin-560061 (India)"
8960145166bffff,4,5,1.0,04:00–06:00,"Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India"
8960145167bffff,6,7,0.875,06:00–08:00,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)"
89601451697ffff,11,12,1.0,11:00–13:00,"80 Feet Road, Sahara Layout, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560061 (India)"
896014516cbffff,5,6,1.0,05:00–07:00,"Subramanyapura Main Road, Muniswamy Naidu Layout, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)"
89601451847ffff,9,10,1.0,09:00–11:00,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)"
8960145187bffff,7,8,0.952,07:00–09:00,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)"
89601451aa7ffff,10,11,1.0,10:00–12:00,"Challagatta Main Road, Sector N, Block 5, Nada Prabhu Kempegowda Layout, Bengaluru, Karnataka. Pin-560060 (India)"
89601451d6bffff,10,10,0.966,10:00–12:00,"Kumbalgodu Flyover, Serenade Layout, Kumbalagodu, Bengaluru, Karnataka. Pin-560074 (India)"
89601451e2bffff,0,1,0.5,00:00–02:00,"Mysore Road, Vaishnavi Layout, Venkatapura South Taluka, Bengaluru, Karnataka. Pin-560060 (India)"
89601451e2fffff,7,8,1.0,07:00–09:00,"Bangalore Mysore Expressway, Eternity Aspire, Kommaghatta Krishnasagara, Bengaluru, Karnataka. Pin-560060 (India)"
89601451e7bffff,3,4,1.0,03:00–05:00,"Doddabele Road, Suvrith Sadan, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
89601453343ffff,11,12,0.857,11:00–13:00,"Konanakunte Main Road, SV Luxuria, VISL Layout, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
8960145334bffff,11,11,0.733,11:00–13:00,"Konanakunte Main Road, SS Vrudhi, VISL Layout, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)"
89601453357ffff,10,11,1.0,10:00–12:00,
8960145364bffff,10,11,1.0,10:00–12:00,"80 Feet Road, Eden Blossoms Apartments, Block 10 Anjanapura Further Extension, Anjanapura Township, Bengaluru, Karnataka. Pin-560108 (India)"
89601458033ffff,11,12,0.857,11:00–13:00,"Pipeline Road, Mukthrayaswamy Layout, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
89601458037ffff,10,11,0.517,10:00–12:00,"Magadi Main Road, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
89601458053ffff,10,11,1.0,10:00–12:00,"12th A Cross Road, Prem Nagar, Kamala Nagar, Bengaluru, Karnataka. Pin-560058 (India)"
89601458083ffff,8,8,0.47,08:00–10:00,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)"
8960145808bffff,9,10,0.851,09:00–11:00,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)"
8960145808fffff,11,12,1.0,11:00–13:00,"Magadi Main Road, Doddaiah Garden, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560091 (India)"
89601458093ffff,10,11,1.0,10:00–12:00,"1st Main Road, Sattva Anugraha, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
8960145809bffff,9,4,0.462,09:00–11:00,"Magadi Main Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)"
896014580afffff,10,11,0.447,10:00–12:00,"Magadi Main Road, BM Shankarappa Industrial Estate, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
896014580b7ffff,4,5,1.0,04:00–06:00,"Kengeri Main Road, Block 2, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560091 (India)"
896014580c7ffff,9,10,0.792,09:00–11:00,"Dr Rajkumar Puniya Bhoomi Road, Sannaki Bayalu, Vrushabhavathi Nagar, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
896014580cbffff,10,10,0.583,10:00–12:00,"Laggere Service Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
896014580cfffff,9,10,1.0,09:00–11:00,"Pipeline Road, Prem Nagar, Kamala Nagar, Bengaluru, Karnataka. Pin-560058 (India)"
89601458103ffff,7,8,0.607,07:00–09:00,"Magadi Main Road, Herohalli Cross, Madeshwara Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
8960145810bffff,12,8,0.545,12:00–14:00,"Magadi Main Road, Ramaiah Industrial Estate, Madeshwara Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
8960145810fffff,3,4,1.0,03:00–05:00,"Magadi Main Road, Herohalli Cross, Madeshwara Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
89601458123ffff,7,8,0.625,07:00–09:00,"50 Feet Road, Apanapa Layout, Byadrahalli, Bengaluru, Karnataka. Pin-560091 (India)"
89601458127ffff,10,11,1.0,10:00–12:00,"Magadi Main Road, Byadrahalli, Bengaluru, Karnataka. Pin-560091 (India)"
89601458133ffff,2,3,1.0,02:00–04:00,"Magadi Main Road, Gaddekhani, Anjana Nagar, Herohalli, Bengaluru, Karnataka. Pin-560091 (India)"
8960145813bffff,11,11,0.567,11:00–13:00,"Magadi Main Road, Gaddekhani, Anjana Nagar, Herohalli, Bengaluru, Karnataka. Pin-560091 (India)"
89601458153ffff,7,8,1.0,07:00–09:00,"Pipeline Road, Hoysala Nagar, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
8960145816bffff,11,11,0.857,11:00–13:00,"3rd Main Road, Sri Akadantha Nagar, Andhrahalli, Bengaluru, Karnataka. Pin-560091 (India)"
89601458177ffff,6,7,1.0,06:00–08:00,"2nd Cross Road, Herohalli North, Herohalli, Bengaluru, Karnataka. Pin-560091 (India)"
896014581a7ffff,9,10,1.0,09:00–11:00,"Muddayanapalya Road, Kuvempu Layout, Sir M Vishweshwaraiah Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
896014581b7ffff,11,12,1.0,11:00–13:00,"Dr Siddalingaiah Road, Block 8, Sir M Vishweshwaraiah Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
896014581cbffff,10,11,0.433,10:00–12:00,"Magadi Main Road, Pattanagere Nagar, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
896014581cfffff,10,10,0.691,10:00–12:00,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)"
8960145820bffff,2,3,1.0,02:00–04:00,"10th Main Road, Dr Vishnuvardhan Circle, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
89601458243ffff,8,9,1.0,08:00–10:00,"100 Feet Road, Kempamma Badavane, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
8960145824fffff,10,8,0.413,10:00–12:00,"Rajgopal Nagar Main Road, SBM Circle, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
89601458267ffff,3,4,1.0,03:00–05:00,"8th Cross Road, Chakkasandra, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
8960145826bffff,10,11,0.593,10:00–12:00,"TVS Cross Road, Industrial Area Phase 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
8960145827bffff,1,2,1.0,01:00–03:00,"Rajgopal Nagar Main Road, SBM Circle, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
89601458293ffff,10,11,0.579,10:00–12:00,"Dr Rajkumar Puniya Bhoomi Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
8960145829bffff,10,10,0.823,10:00–12:00,"50 Feet Road, Malleshwar Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
896014582c3ffff,11,12,1.0,11:00–13:00,"6th Cross Road, Karnataka Slum Development Board Bangalore, Lakshmidevi Nagar, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
896014582c7ffff,3,4,1.0,03:00–05:00,"3rd Cross Road, Vidhana Soudha Layout Circle, Bengaluru, Karnataka. Pin-560058 (India)"
896014582cbffff,9,10,0.968,09:00–11:00,"7th Cross Road, Kanteerava Studio Circle, Bengaluru, Karnataka. Pin-560096 (India)"
896014582d3ffff,12,12,0.556,12:00–14:00,"3rd Cross Road, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
896014582dbffff,10,11,0.468,10:00–12:00,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
89601458353ffff,3,4,1.0,03:00–05:00,"3rd Main Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
89601458367ffff,10,11,0.684,10:00–12:00,"Thigalarapalya Main Road, Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
89601458377ffff,12,13,0.692,12:00–14:00,"Thigalarapalya Main Road, Ramegowda Layout, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
8960145838bffff,1,2,1.0,01:00–03:00,"Hegganahalli Main Road, Muneshwara Layout, Sanjeevani Nagar, Bengaluru, Karnataka. Pin-560091 (India)"
896014583c3ffff,7,8,0.664,07:00–09:00,"Handrihalli Main Road, M Ramaiah Layout, Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
896014583cbffff,9,9,0.5,09:00–11:00,"Rajgopal Nagar Main Road, M Ramaiah Layout, Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
896014583cfffff,11,11,0.667,11:00–13:00,"3rd Main Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
89601458407ffff,11,12,1.0,11:00–13:00,"Kranthiveera Sangollirayanna Main Road, Sapthagiri, Vijaya Nagar North, Bengaluru, Karnataka. Pin-560079 (India)"
8960145840bffff,10,11,0.476,10:00–12:00,"G Narayana Kumar Road, Asthagrama New Extension, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458413ffff,11,12,0.707,11:00–13:00,"Nagarabhavi Main Road, Gangadhara Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
89601458417ffff,11,11,0.545,11:00–13:00,"60 Feet Road, Prasanthnagar Circle, Vijaya Nagar North, Bengaluru, Karnataka. Pin-560079 (India)"
8960145841bffff,10,11,0.727,10:00–12:00,"G Narayana Kumar Road, Selvam Industrial Estate, Vijaya Nagar North, Bengaluru, Karnataka. Pin-560079 (India)"
8960145842fffff,2,3,1.0,02:00–04:00,"Unnamed Road, Sattva Anugraha, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458433ffff,12,13,0.75,12:00–14:00,"Shree Nivasa Nagara Kempu Gouda Road, Shrishylanagar, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458443ffff,9,10,0.673,09:00–11:00,"80 Feet Road, Papajan Garden, KHB Colony Stage 2, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
8960145844bffff,10,10,0.474,10:00–12:00,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
89601458453ffff,9,9,0.65,09:00–11:00,"80 Feet Road, Papajan Garden, KHB Colony Stage 2, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
89601458457ffff,3,4,0.75,03:00–05:00,"1st Main Road, Selvam Industrial Estate, Vijaya Nagar North, Bengaluru, Karnataka. Pin-560079 (India)"
8960145845bffff,10,10,0.547,10:00–12:00,"1st Main Road, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
89601458463ffff,10,10,0.44,10:00–12:00,"Magadi Main Road, Kempaiah Estate, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458467ffff,10,11,0.703,10:00–12:00,"Magadi Main Road, Vinayaka Nagar, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458473ffff,11,12,0.606,11:00–13:00,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458477ffff,12,13,0.75,12:00–14:00,"2nd Main Road, Industrial Estate, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)"
89601458483ffff,9,10,0.72,09:00–11:00,"17th Cross Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8960145848bffff,12,13,0.75,12:00–14:00,"22nd Cross Road, Gangadhara Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
89601458493ffff,10,10,0.467,10:00–12:00,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
89601458497ffff,10,10,0.478,10:00–12:00,"17th Cross Road, Ganga Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8960145849bffff,9,10,0.556,09:00–11:00,"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
896014584a3ffff,8,9,0.667,08:00–10:00,"VKRV Rao Road, Priyadarshini Layout, Mudalapalya, Bengaluru, Karnataka. Pin-560072 (India)"
896014584c3ffff,10,10,0.655,10:00–12:00,"G Narayana Kumar Road, Bilagula, Agrahara Dasarahalli, Bengaluru, Karnataka. Pin-560079 (India)"
896014584c7ffff,5,6,1.0,05:00–07:00,"2nd Cross Road, Thimmenahalli, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
896014584cfffff,10,11,0.715,10:00–12:00,"G Narayana Kumar Road, Birla Tisya, Agrahara Dasarahalli, Bengaluru, Karnataka. Pin-560079 (India)"
896014584d3ffff,8,8,0.794,08:00–10:00,"8th Cross Road, CPWD Complex, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
896014584d7ffff,8,9,1.0,08:00–10:00,"7th Main Road, CPWD Complex, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
896014584dbffff,10,10,0.547,10:00–12:00,"G Narayana Kumar Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
89601458503ffff,6,7,0.5,06:00–08:00,"3rd Main Road, Block 11, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458507ffff,9,10,0.508,09:00–11:00,"Kengeri Main Road, Block 11, Marilingappa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145850bffff,7,7,0.769,07:00–09:00,"Kengeri Main Road, Bayamma Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560091 (India)"
8960145850fffff,8,9,0.344,08:00–10:00,"Kengeri Main Road, Papareddypalya Circle, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458513ffff,2,3,1.0,02:00–04:00,"Dr Rajkumar Puniya Bhoomi Road, Block 10, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458517ffff,12,12,0.529,12:00–14:00,"3rd Main Road, Block 11, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145851bffff,11,7,0.449,11:00–13:00,"6th Main Road, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458527ffff,11,11,1.0,11:00–13:00,"60 Feet Road, Sri Maregowda Circle, Gidadakonenahalli, Bengaluru, Karnataka. Pin-560091 (India)"
89601458537ffff,11,11,0.875,11:00–13:00,"60 Feet Road, Yashawini Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458547ffff,9,10,0.811,09:00–11:00,"3rd A Cross Road, Nagarbhavi BDA Shopping Complex, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145854fffff,6,10,0.524,06:00–08:00,"3rd A Cross Road, Nagarbhavi BDA Shopping Complex, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458553ffff,11,12,0.414,11:00–13:00,"60 Feet Road, LRK Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458557ffff,10,11,0.439,10:00–12:00,"4th A Cross Road, Block 7, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145855bffff,0,1,1.0,00:00–02:00,"Malagala Main Road, Ramakrishna Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458573ffff,6,7,1.0,06:00–08:00,"Kengeri Main Road, Munipapaiah Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145857bffff,10,11,0.395,10:00–12:00,"Sri Annapoorneshwari Temple Road, Nagarbhavi BDA Shopping Complex, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458583ffff,11,12,1.0,11:00–13:00,"1st Main Road, Malai Mahadeshwara Layout, Block 9, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458587ffff,11,11,0.473,11:00–13:00,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458593ffff,1,2,1.0,01:00–03:00,
89601458597ffff,11,11,0.615,11:00–13:00,"Mallathahalli Road, Block 12, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
896014585a3ffff,6,7,0.389,06:00–08:00,"6th Main Road, Kengunta, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)"
896014585abffff,13,14,0.6,13:00–15:00,"Kengeri Main Road, KK Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
896014585afffff,11,12,0.741,11:00–13:00,"60 Feet Road, KK Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
896014585b3ffff,11,11,0.814,11:00–13:00,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
896014585b7ffff,10,11,0.5,10:00–12:00,"Mallathahalli Road, Kengunte Circle, Bengaluru, Karnataka. Pin-560056 (India)"
896014585bbffff,6,7,0.519,06:00–08:00,"60 Feet Road, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
89601458603ffff,10,11,0.843,10:00–12:00,"Pipeline Road, Kurubarahalli Circle, Kurubarahalli, Bengaluru, Karnataka. Pin-560086 (India)"
89601458607ffff,9,12,0.571,09:00–11:00,"Pipeline Road, Karnataka Layout Stage 1, Kurubarahalli, Bengaluru, Karnataka. Pin-560086 (India)"
89601458623ffff,10,11,1.0,10:00–12:00,"1st Main Road, Kempegowda Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
89601458627ffff,10,10,0.799,10:00–12:00,"1st Main Road, Kempegowda Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
8960145862bffff,10,11,0.612,10:00–12:00,"17th Main Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
8960145862fffff,10,11,0.733,10:00–12:00,"Dr Rajkumar Puniya Bhoomi Road, Swatantra Yodhara Nagar, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
8960145863bffff,10,11,1.0,10:00–12:00,"7th Cross Road, RIECHS Layout, Kurubarahalli, Bengaluru, Karnataka. Pin-560086 (India)"
89601458643ffff,2,2,0.667,02:00–04:00,"Shreepuram Main Road, Stage 2, AGB Colony, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)"
8960145864fffff,7,8,0.645,07:00–09:00,"BESCOM Main Road, Corporation Bank Officers Quarters, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
89601458653ffff,11,12,0.929,11:00–13:00,"4th Main Road, Sumukha, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)"
89601458657ffff,4,5,0.667,04:00–06:00,"14th Main Road, Sriram Nagar, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)"
8960145865bffff,10,10,0.476,10:00–12:00,"8th Main Road, Sri Vasavi Garden, Mahalakshmi Layout, Bengaluru, Karnataka. Pin-560086 (India)"
89601458663ffff,11,12,0.706,11:00–13:00,"25th Main Road, Sakkamma Layout, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
89601458667ffff,11,11,0.647,11:00–13:00,"10th Cross Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)"
8960145866bffff,2,3,1.0,02:00–04:00,"5th Main Road, Jai Maruti Nagar Circle, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
8960145866fffff,12,7,0.276,12:00–14:00,"Dr Rajkumar Puniya Bhoomi Road, Kempamma Layout, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
8960145867bffff,10,11,0.621,10:00–12:00,"Nandini Layout Club Road, APMC Government Quarters, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
89601458683ffff,10,10,0.821,10:00–12:00,"Dr Siddaiah Puranik Marg, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
89601458687ffff,10,10,0.752,10:00–12:00,"Dr Siddaiah Puranik Marg, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
8960145868bffff,8,9,0.529,08:00–10:00,"Dr Siddaiah Puranik Marg, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
8960145868fffff,9,10,1.0,09:00–11:00,"1st F Cross Road, Hoysala Nagar, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
