h3_9,n_violations,n_days_active,mean_obstruct_w,mean_pcu,heavy_share,main_road_share,crossing_signal_share,footpath_share,junction_share,peak_share,am_peak_share,pm_peak_share,night_share,weekend_share,mean_expo,hour_entropy,modal_hour,approval_rate,scita_share,impact_sum,lat,lon,dom_station,dom_violation,active_days_ratio,vio_per_active_day,impact_per_violation,log_n
8960145120fffff,2,2,0.75,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6499999999999999,1.000000344740523,7,1.0,1.0,1.0,12.914249850000001,77.51440935,Kengeri,NO PARKING,0.013245033112582781,1.0,0.5,1.0986122886681098
89601451233ffff,5,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.5484508892668116e-07,11,0.2,1.0,1.0,12.90950334,77.51313968,Kengeri,NO PARKING,0.006622516556291391,5.0,0.2,1.791759469228055
8960145123bffff,3,1,1.0,1.0666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6999999999999998,2.5242507776887836e-07,7,1.0,0.3333333333333333,2.2399999999999998,12.9128301,77.5137208,Kengeri,PARKING IN A MAIN ROAD,0.006622516556291391,3.0,0.7466666666666666,1.3862943611198906
89601451257ffff,13,7,0.6538461538461539,1.0153846153846153,0.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.15384615384615385,0.7230769230769231,2.038159730110083,13,0.6923076923076923,1.0,6.34,12.916493992307693,77.52058697692308,Kengeri,WRONG PARKING,0.046357615894039736,1.8571428571428572,0.4876923076923077,2.6390573296152584
89601451263ffff,5,3,0.7,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.12000000000000002,0.7219282400635726,4,0.0,0.6,0.4750000000000001,12.91848164,77.513663,Kengeri,NO PARKING,0.019867549668874173,1.6666666666666667,0.09500000000000001,1.791759469228055
8960145126bffff,3,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10000000000000002,2.5242507776887836e-07,4,0.0,1.0,0.07500000000000001,12.921978866666668,77.51446776666667,Kengeri,NO PARKING,0.006622516556291391,3.0,0.025000000000000005,1.3862943611198906
89601451287ffff,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,7.208210851958012e-07,11,1.0,1.0,0.4,12.9026833,77.5190814,Kengeri,NO PARKING,0.006622516556291391,1.0,0.4,0.6931471805599453
896014512a3ffff,3,2,0.5,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.9182960688815056,2,1.0,1.0,0.52,12.904228566666667,77.51244003333333,Kengeri,NO PARKING,0.013245033112582781,1.5,0.17333333333333334,1.3862943611198906
896014512a7ffff,1,1,0.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.208210851958012e-07,10,1.0,1.0,0.75,12.9039264,77.5108473,Kengeri,NO PARKING,0.006622516556291391,1.0,0.75,0.6931471805599453
8960145140bffff,2,2,0.8,0.95,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.35,1.000000344740523,4,1.0,1.0,0.554,12.876135699999999,77.53007835,Thalagattapura,PARKING IN A MAIN ROAD,0.013245033112582781,1.0,0.277,1.0986122886681098
8960145141bffff,1,1,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,4,0.0,1.0,0.05,12.8760065,77.5317885,Thalagattapura,PARKING IN A MAIN ROAD,0.006622516556291391,1.0,0.05,0.6931471805599453
89601451483ffff,22,17,0.6909090909090909,1.0999999999999999,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.4090909090909091,0.4090909090909091,0.44090909090909086,3.0271691409090318,4,0.75,0.6363636363636364,7.631,12.866424409090909,77.53476741363636,Thalagattapura,WRONG PARKING,0.11258278145695365,1.2941176470588236,0.3468636363636364,3.1354942159291497
89601451497ffff,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,3,1.0,1.0,0.05,12.8644912,77.5331024,Thalagattapura,NO PARKING,0.006622516556291391,1.0,0.05,0.6931471805599453
8960145149bffff,22,14,0.6954545454545454,1.3272727272727272,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.45454545454545453,0.5045454545454545,2.0207278091272616,12,0.7,0.5909090909090909,9.046,12.86838145,77.53616475,Thalagattapura,WRONG PARKING,0.09271523178807947,1.5714285714285714,0.41118181818181815,3.1354942159291497
896014514c3ffff,3,3,0.7000000000000001,0.8333333333333334,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.8000000000000002,1.5849627201014895,10,1.0,1.0,1.48,12.8741824,77.53871236666667,Thalagattapura,NO PARKING,0.019867549668874173,1.0,0.49333333333333335,1.3862943611198906
896014514d3ffff,29,10,0.6344827586206896,1.2551724137931033,0.06896551724137931,0.1724137931034483,0.0,0.0,0.0,0.20689655172413793,0.20689655172413793,0.0,0.27586206896551724,0.5862068965517241,0.6379310344827587,2.234186314581652,11,0.5416666666666666,0.9310344827586207,13.088,12.871971851724139,77.53912318965517,Thalagattapura,WRONG PARKING,0.06622516556291391,2.9,0.4513103448275862,3.4011973816621555
896014514d7ffff,35,15,0.64,1.1171428571428572,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0,0.3142857142857143,0.3142857142857143,0.0,0.08571428571428572,0.4857142857142857,0.7057142857142857,2.417154083992281,11,0.8518518518518519,0.8285714285714286,17.052,12.870381294285714,77.53772568571429,Thalagattapura,WRONG PARKING,0.09933774834437085,2.3333333333333335,0.48719999999999997,3.58351893845611
896014514dbffff,42,24,0.6261904761904762,0.8976190476190476,0.0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.11904761904761904,0.11904761904761904,0.0,0.14285714285714285,0.2619047619047619,0.5857142857142856,3.200529041675384,12,0.7142857142857143,0.9047619047619048,14.126999999999999,12.874269247619049,77.54095384047619,Thalagattapura,NO PARKING,0.15894039735099338,1.75,0.33635714285714285,3.7612001156935624
89601451613ffff,1,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.208210851958012e-07,15,1.0,1.0,0.42,12.8931845,77.537668,Thalagattapura,WRONG PARKING,0.006622516556291391,1.0,0.42,0.6931471805599453
8960145164bffff,6,6,0.7999999999999999,1.5833333333333333,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.7333333333333334,1.7924813577331684,12,0.3333333333333333,1.0,5.24,12.907095107384132,77.54005659757028,K.S. Layout,PARKING IN A MAIN ROAD,0.039735099337748346,1.0,0.8733333333333334,1.9459101490553132
8960145164fffff,2,1,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.000000344740523,7,0.0,0.5,0.75,12.906572277939109,77.53498177,K.S. Layout,PARKING IN A MAIN ROAD,0.006622516556291391,2.0,0.375,1.0986122886681098
8960145165bffff,67,30,0.5671641791044776,0.7626865671641792,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.04477611940298507,0.04477611940298507,0.0,0.2835820895522388,0.2537313432835821,0.49402985074626865,2.763746039249167,13,0.78,0.8656716417910447,13.795,12.905907185446605,77.54237563727611,K.S. Layout,WRONG PARKING,0.1986754966887417,2.2333333333333334,0.2058955223880597,4.219507705176107
89601451663ffff,1,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,3,0.0,1.0,0.03,12.9048421,77.5299793,K.S. Layout,WRONG PARKING,0.006622516556291391,1.0,0.03,0.6931471805599453
8960145166bffff,1,1,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,7.208210851958012e-07,5,0.0,0.0,0.1,12.907096614408124,77.53212372,K.S. Layout,PARKING IN A MAIN ROAD,0.006622516556291391,1.0,0.1,0.6931471805599453
8960145167bffff,5,4,0.9199999999999999,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.48,1.370950730330569,7,1.0,0.4,1.0599999999999998,12.905993697226842,77.53293782287084,K.S. Layout,PARKING IN A MAIN ROAD,0.026490066225165563,1.25,0.21199999999999997,1.791759469228055
89601451697ffff,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.208210851958012e-07,12,0.0,0.0,0.3,12.8865023,77.5380934,Thalagattapura,NO PARKING,0.006622516556291391,1.0,0.3,0.6931471805599453
896014516cbffff,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.208210851958012e-07,6,0.0,1.0,0.1,12.9009745,77.5441708,K.S. Layout,NO PARKING,0.006622516556291391,1.0,0.1,0.6931471805599453
89601451847ffff,1,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.208210851958012e-07,10,0.0,0.0,0.6,12.8963282,77.4548149,Kengeri,WRONG PARKING,0.006622516556291391,1.0,0.6,0.6931471805599453
8960145187bffff,3,3,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.7000000000000001,0.9182960688815056,8,0.0,0.0,1.8899999999999997,12.896729933333333,77.45337496666667,Kengeri,WRONG PARKING,0.019867549668874173,1.0,0.6299999999999999,1.3862943611198906
89601451aa7ffff,1,1,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.208210851958012e-07,11,0.0,0.0,0.72,12.9035725,77.4498397,Kengeri,WRONG PARKING,0.006622516556291391,1.0,0.72,0.6931471805599453
89601451d6bffff,4,3,0.65,1.125,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.25,0.725,1.5000001672852499,10,0.0,0.75,1.8900000000000001,12.878552925000001,77.4453608,Kengeri,NO PARKING,0.019867549668874173,1.3333333333333333,0.47250000000000003,1.6094379124341003
89601451e2bffff,2,2,0.8,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.000000344740523,1,0.0,1.0,0.16,12.9013385,77.46745385,Kengeri,PARKING IN A MAIN ROAD,0.013245033112582781,1.0,0.08,1.0986122886681098
89601451e2fffff,1,1,0.6,3.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.208210851958012e-07,8,0.0,1.0,2.1,12.898531,77.4646747,Kengeri,WRONG PARKING,0.006622516556291391,1.0,2.1,0.6931471805599453
89601451e7bffff,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10000000000000002,2.5242507776887836e-07,4,0.6666666666666666,1.0,0.30000000000000004,12.905856366666667,77.47566493333333,Kengeri,PARKING IN A MAIN ROAD,0.006622516556291391,3.0,0.10000000000000002,1.3862943611198906
89601453343ffff,2,2,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35,1.000000344740523,2,1.0,1.0,0.37,12.8601758,77.52886505000001,Thalagattapura,NO PARKING,0.013245033112582781,1.0,0.185,1.0986122886681098
8960145334bffff,72,17,0.6055555555555556,0.973611111111111,0.0,0.125,0.0,0.0,0.0,0.06944444444444445,0.06944444444444445,0.0,0.4166666666666667,0.4166666666666667,0.47777777777777775,2.4994939444535627,11,0.7884615384615384,0.8055555555555556,21.953,12.861985944444445,77.53002946666668,Thalagattapura,NO PARKING,0.11258278145695365,4.235294117647059,0.30490277777777774,4.290459441148391
89601453357ffff,1,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.208210851958012e-07,11,0.0,1.0,0.24,12.8568032,77.5299883,No Police Station,WRONG PARKING,0.006622516556291391,1.0,0.24,0.6931471805599453
8960145364bffff,1,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,7.208210851958012e-07,11,0.0,1.0,0.24,12.8559873,77.5686612,Thalagattapura,WRONG PARKING,0.006622516556291391,1.0,0.24,0.6931471805599453
89601458033ffff,4,3,0.525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.35,1.5000001672852503,12,0.5,1.0,0.705,12.992606825,77.507806175,Kamakshipalya,NO PARKING,0.019867549668874173,1.3333333333333333,0.17625,1.6094379124341003
89601458037ffff,61,27,0.5868852459016393,0.9557377049180328,0.03278688524590164,0.01639344262295082,0.0,0.01639344262295082,0.0,0.16393442622950818,0.16393442622950818,0.0,0.4426229508196721,0.18032786885245902,0.49508196721311476,3.2755381503977867,11,0.6666666666666666,0.7213114754098361,16.891,12.990233316393443,77.50482237540984,Kamakshipalya,WRONG PARKING,0.17880794701986755,2.259259259259259,0.27690163934426226,4.127134385045092
89601458053ffff,2,1,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.7191054656212714e-07,11,0.0,0.0,1.0,12.9976792,77.52194915000001,Peenya,NO PARKING,0.006622516556291391,2.0,0.5,1.0986122886681098
89601458083ffff,189,24,0.517989417989418,0.5846560846560847,0.021164021164021163,0.005291005291005291,0.0,0.0,0.0,0.4021164021164021,0.4021164021164021,0.0,0.24867724867724866,0.24867724867724866,0.6640211640211641,3.258900080007548,8,0.8771929824561403,0.9470899470899471,37.717,12.986999345202408,77.51928640629518,Kamakshipalya,NO PARKING,0.15894039735099338,7.875,0.19956084656084655,5.247024072160486
8960145808bffff,24,3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.7833333333333333,2.054585196266261,10,0.16666666666666666,1.0,4.7,12.98806905,77.52037936250001,Kamakshipalya,NO PARKING,0.019867549668874173,8.0,0.19583333333333333,3.2188758248682006
8960145808fffff,1,1,0.6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,7.208210851958012e-07,12,0.0,1.0,1.0799999999999998,12.9884109,77.5161497,Kamakshipalya,WRONG PARKING,0.006622516556291391,1.0,1.0799999999999998,0.6931471805599453
89601458093ffff,4,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.9170527436668448e-07,11,1.0,1.0,0.8,12.9830969,77.5201335,Kamakshipalya,NO PARKING,0.006622516556291391,4.0,0.2,1.6094379124341003
8960145809bffff,28,4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.10714285714285714,0.0,0.8214285714285714,0.17857142857142858,0.23214285714285715,1.160658674432663,4,0.5,0.9285714285714286,1.625,12.987143314285715,77.52059471785715,Kamakshipalya,NO PARKING,0.026490066225165563,7.0,0.05803571428571429,3.367295829986474
896014580afffff,98,35,0.5826530612244898,0.8061224489795918,0.01020408163265306,0.08163265306122448,0.0,0.05102040816326531,0.0,0.12244897959183673,0.12244897959183673,0.0,0.3979591836734694,0.29591836734693877,0.4887755102040816,3.4128946757095977,4,0.7258064516129032,0.9183673469387755,25.276,12.989148937755102,77.50788111020408,Kamakshipalya,NO PARKING,0.23178807947019867,2.8,0.2579183673469388,4.59511985013459
896014580b7ffff,1,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,7.208210851958012e-07,5,1.0,1.0,0.12,12.981962,77.5110253,Jnanabharathi,WRONG PARKING,0.006622516556291391,1.0,0.12,0.6931471805599453
896014580c7ffff,11,4,0.6363636363636364,3.1363636363636362,0.8181818181818182,0.09090909090909091,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.9181818181818181,1.0957953196253227,10,0.0,0.8181818181818182,18.95,12.99164858181818,77.52097507272728,Kamakshipalya,WRONG PARKING,0.026490066225165563,2.75,1.7227272727272727,2.4849066497880004
896014580cbffff,7,5,0.7999999999999999,1.0714285714285714,0.0,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,0.6857142857142857,2.2359264373683465,10,0.75,0.7142857142857143,3.79,12.998145514285714,77.52361222857144,Peenya,PARKING IN A MAIN ROAD,0.033112582781456956,1.4,0.5414285714285715,2.0794415416798357
896014580cfffff,1,1,0.6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.208210851958012e-07,10,1.0,1.0,1.2,12.9973578,77.5211732,Kamakshipalya,WRONG PARKING,0.006622516556291391,1.0,1.2,0.6931471805599453
89601458103ffff,5,5,0.74,1.02,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.5599999999999999,2.3219282139795436,4,0.5,1.0,2.512,12.98756536,77.49317058,Kamakshipalya,PARKING IN A MAIN ROAD,0.033112582781456956,1.0,0.5024,1.791759469228055
8960145810bffff,3,3,0.7333333333333334,0.9,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.7333333333333334,1.5849627201014895,8,0.0,1.0,1.6119999999999999,12.988058266666668,77.49444949999999,Kamakshipalya,WRONG PARKING,0.019867549668874173,1.0,0.5373333333333333,1.3862943611198906
8960145810fffff,1,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,7.208210851958012e-07,4,1.0,1.0,0.03,12.9868368,77.4912802,Kamakshipalya,WRONG PARKING,0.006622516556291391,1.0,0.03,0.6931471805599453
89601458123ffff,8,6,0.5625,0.6875,0.0,0.125,0.0,0.0,0.0,0.375,0.375,0.0,0.25,0.25,0.6,2.155639138872142,8,0.75,1.0,1.9,12.9855888,77.4859179875,Kamakshipalya,NO PARKING,0.039735099337748346,1.3333333333333333,0.2375,2.1972245773362196
89601458127ffff,7,2,0.6571428571428571,0.9285714285714286,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8,1.1219860885313479e-07,11,1.0,1.0,3.28,12.985189114285715,77.48115752857143,Kamakshipalya,WRONG PARKING,0.013245033112582781,3.5,0.4685714285714285,2.0794415416798357
89601458133ffff,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,3,1.0,1.0,0.1,12.9858415,77.4871763,Kamakshipalya,PARKING IN A MAIN ROAD,0.006622516556291391,1.0,0.1,0.6931471805599453
8960145813bffff,22,7,0.509090909090909,0.5681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.22727272727272727,0.5454545454545454,2.338020988747087,11,0.631578947368421,1.0,3.335,12.986051631818183,77.48794810909091,Kamakshipalya,NO PARKING,0.046357615894039736,3.142857142857143,0.15159090909090908,3.1354942159291497
89601458153ffff,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.208210851958012e-07,8,0.0,1.0,0.5,12.9906409,77.501504,Kamakshipalya,NO PARKING,0.006622516556291391,1.0,0.5,0.6931471805599453
8960145816bffff,6,3,0.6666666666666666,1.0666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7000000000000001,1.4591480307898428,11,1.0,1.0,2.832,12.997151449999999,77.48971706666667,Kamakshipalya,WRONG PARKING,0.019867549668874173,2.0,0.472,1.9459101490553132
89601458177ffff,1,1,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,7.208210851958012e-07,7,1.0,1.0,0.504,12.9912371,77.4875785,Kamakshipalya,WRONG PARKING,0.006622516556291391,1.0,0.504,0.6931471805599453
896014581a7ffff,1,1,0.6,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.208210851958012e-07,10,1.0,1.0,0.3,12.9772621,77.4878248,Kamakshipalya,WRONG PARKING,0.006622516556291391,1.0,0.3,0.6931471805599453
896014581b7ffff,3,2,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9182960688815056,12,0.0,1.0,1.7999999999999998,12.976094699999999,77.48817813333334,Jnanabharathi,WRONG PARKING,0.013245033112582781,1.5,0.6,1.3862943611198906
896014581cbffff,114,57,0.6035087719298246,0.881578947368421,0.008771929824561403,0.13157894736842105,0.017543859649122806,0.0,0.0,0.23684210526315788,0.23684210526315788,0.0,0.12280701754385964,0.2807017543859649,0.6640350877192983,3.3109558975289937,11,0.625,0.8508771929824561,37.824,12.990034168971919,77.50302626719298,Kamakshipalya,NO PARKING,0.37748344370860926,2.0,0.3317894736842105,4.74493212836325
896014581cfffff,209,30,0.5301435406698565,0.5282296650717704,0.0,0.009569377990430622,0.0,0.004784688995215311,0.0,0.37799043062200954,0.37799043062200954,0.0,0.13875598086124402,0.18181818181818182,0.7062200956937799,2.7775856512204604,10,0.7642276422764228,0.8708133971291866,41.537,12.989283591440241,77.50054874062089,Kamakshipalya,NO PARKING,0.1986754966887417,6.966666666666667,0.19874162679425836,5.3471075307174685
8960145820bffff,1,1,0.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,3,0.0,1.0,0.12,13.0205409,77.5212531,Rajajinagar,WRONG PARKING,0.006622516556291391,1.0,0.12,0.6931471805599453
89601458243ffff,1,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.208210851958012e-07,9,1.0,1.0,0.6,13.0224075,77.5238951,Rajajinagar,WRONG PARKING,0.006622516556291391,1.0,0.6,0.6931471805599453
8960145824fffff,21,7,0.5761904761904761,2.0952380952380953,0.47619047619047616,0.0,0.0,0.09523809523809523,0.0,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.7619047619047619,0.43809523809523804,1.7956829293046859,2,1.0,0.7619047619047619,8.86,13.02553796031746,77.5204541920635,Peenya,WRONG PARKING,0.046357615894039736,3.0,0.4219047619047619,3.091042453358316
89601458267ffff,1,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.208210851958012e-07,4,0.0,1.0,0.06,13.0233206,77.512549,Peenya,WRONG PARKING,0.006622516556291391,1.0,0.06,0.6931471805599453
8960145826bffff,4,3,0.575,2.25,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.675,1.5000001672852499,11,1.0,1.0,2.87,13.0274283,77.51620794166666,Peenya,WRONG PARKING,0.019867549668874173,1.3333333333333333,0.7175,1.6094379124341003
8960145827bffff,6,2,0.6,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10000000000000002,1.3004587267364648e-07,2,0.0,0.8333333333333334,0.6,13.024851616666666,77.51982385000001,Peenya,WRONG PARKING,0.013245033112582781,3.0,0.09999999999999999,1.9459101490553132
89601458293ffff,227,72,0.8295154185022027,1.7458149779735683,0.2643171806167401,0.6167400881057269,0.0,0.0,0.0,0.17180616740088106,0.17180616740088106,0.0,0.47577092511013214,0.24669603524229075,0.4713656387665198,3.3689887605294135,11,0.7398373983739838,0.8237885462555066,145.461,13.007130044052863,77.52672788458149,Rajajinagar,PARKING IN A MAIN ROAD,0.4768211920529801,3.1527777777777777,0.6407973568281939,5.429345628954441
